ID,orthography,apaunicode,straight,root,parse,definition,note
2,tsakw,cakʷ,cakø,√tsakw,√tsakw,"far, distant",
3,hwu tsakw,xʷə cakʷ,xø; cakø,√tsakw,hwu √tsakw,"far, quite far",
4,tsukwtsukw,cəkʷcəkʷ,c;køc;kø,√tsakw,√tsakw=RDP,low tide,Also hwtsukwtsukw.
5,hwun’tsakw,xʷən̓cakʷ,xø;∫cakø,√tsakw,hwun’=√tsakw,far (still far),
6,hwtskwilum,xʷckʷiləm,xøckøil;m,√tsakw,hw=√tsakw=il=m,far: go far,
7,hwtsukwkwilum,xʷcəkʷkʷiləm,xøc;køkøil;m,√tsakw,hw=√tsakw=il=m=RDP,far: go too far,Note the final reduplication.
8,hwtsakwkwi’lum’,xʷcakʷkʷil̓əm̓,xøcakøkøi¬;µ,√tsakw,hw=√tsakw=il=m=PROG,going too far,
9,tskwalus,ckʷaləs,ckøal;s,√tsakw,√tsakw=alus,"low tide (very low, when the water goes way out)",
10,tsala’lh,calal̓h,cala¬h,√tsala’lh,√tsala’lh,borrow; rent,Note that tsala'lht is “lend”.
11,tsala’lhiilh,calal̓hi:ɫ,cala¬hi:®,√tsala’lh,√tsala’lh=iilh,borrow: come to borrow something,
12,yu tsakwula’lh,yə cakʷəlal̓h,y; cakø;la¬h,√tsala’lh,yu √tsala’lh=PROG,borrowing,
13,tsala’lht,calal̓ht,cala¬ht,√tsala’lh,√tsala’lh=t,lend him/her something," See also 'ixum [√'ixim] lend money; tsala'lh, borrow."
14,tsala’lhthamu,calal̓hθamə,cala¬hƒam;,√tsala’lh,√tsala’lh=t=samu,lend you,
15,tsala’lhtham’sh,calal̓hθam̓š,cala¬hƒaµß,√tsala’lh,√tsala’lh=t=sam’sh,lend me,
16,tsala’lhth,calal̓hθ,cala¬hƒ,√tsala’lh,√tsala’lh=t=sam’sh,lend me,
17,tsa’luqw,cal̓əqʷ,ca¬;qø,√tsa’luqw,√tsa’luqw,upward slope (of the mountains),See also smeent [√meent].
18,tsul’tsa’luqw,cəl̓cal̓əqʷ,c;¬ca¬;qø,√tsa’luqw,√tsa’luqw=PL,up in the mountains PL,
19,tun’tsa’luqw,tən̓cal̓əqʷ,t;∫ca¬;qø,√tsa’luqw,tun’=√tsa’luqw,southwest wind,
20,tsam,cam,cam,√tsam,√tsam,"uphill: go up (from water), go up hill",
21,yu tsakwum,yə cakʷəm,y; cakø;m,√tsam,yu √tsam=PROG,"uphill: going up from shore, uphill",
22,tsumstuhw,cəmstəxʷ,c;mst;xø,√tsam,√tsam=stuhw,"uphill: take away from water, bring uphill",
