ID,LEXEME - curly ’unuhw,LEXEME - straight 'unuhw,ROOT,PARSE,DEFINITION,NOTE
2,tsakw,tsakw,√tsakw,√tsakw,"far,distant",
3,hwu tsakw,hwu tsakw,√tsakw,hwu √tsakw,"far,quite far",
4,tsukwtsukw,tsukwtsukw,√tsakw,√tsakw=RDP,low tide,Also hwtsukwtsukw.
5,hwun’tsakw,hwun'tsakw,√tsakw,hwun’=√tsakw,far (still far),
6,hwtskwilum,hwtskwilum,√tsakw,hw=√tsakw=il=m,far: go far,
7,hwtsukwkwilum,hwtsukwkwilum,√tsakw,hw=√tsakw=il=m=RDP,far: go too far,Note the final reduplication.
8,hwtsakwkwi’lum’,hwtsakwkwi'lum',√tsakw,hw=√tsakw=il=m=PROG,going too far,
9,tskwalus,tskwalus,√tsakw,√tsakw=alus,"low tide (very low,when the water goes way out)",
10,tsala’lh,tsala'lh,√tsala’lh,√tsala’lh,borrow; rent,Note that tsala'lht is “lend”.
11,tsala’lhiilh,tsala'lhiilh,√tsala’lh,√tsala’lh=iilh,borrow: come to borrow something,
12,yu tsakwula’lh,yu tsakwula'lh,√tsala’lh,yu √tsala’lh=PROG,borrowing,
13,tsala’lht,tsala'lht,√tsala’lh,√tsala’lh=t,lend him/her something," See also 'ixum [√'ixim] lend money; tsala'lh,borrow."
14,tsala’lhthamu,tsala'lhthamu,√tsala’lh,√tsala’lh=t=samu,lend you,
15,tsala’lhtham’sh,tsala'lhtham'sh,√tsala’lh,√tsala’lh=t=sam’sh,lend me,
16,tsala’lhth,tsala'lhth,√tsala’lh,√tsala’lh=t=sam’sh,lend me,
17,tsa’luqw,tsa'luqw,√tsa’luqw,√tsa’luqw,upward slope (of the mountains),See also smeent [√meent].
18,tsul’tsa’luqw,tsul'tsa'luqw,√tsa’luqw,√tsa’luqw=PL,up in the mountains PL,
19,tun’tsa’luqw,tun'tsa'luqw,√tsa’luqw,tun’=√tsa’luqw,southwest wind,
20,tsam,tsam,√tsam,√tsam,"uphill: go up (from water),go up hill",
21,yu tsakwum,yu tsakwum,√tsam,yu √tsam=PROG,"uphill: going up from shore,uphill",
22,tsumstuhw,tsumstuhw,√tsam,√tsam=stuhw,"uphill: take away from water,bring uphill",
23,shtsa’nus,shtsa'nus,√tsa’nus,shhw=√tsa’nus,Deception Pass," Possibly from √tsa' “break away”,referring to the mountain."
24,shcha’nus,shcha'nus,√tsa’nus,shhw=√tsa’nus,Deception Pass,See also shtsa'nus.
25,tsahwut,tsahwut,√tsahw,√tsahw=t,"artificial respiration,or blow into someone,hands cupped",See also tshwat [√tshwa].
26,stsutsa’,stsutsa',√tsa’,s=√tsa’=STA,pulled apart (in layers),
